Var1,Var2,Freq
benefits,Democratic_positive,1
commitment,Democratic_positive,0
encourage,Democratic_positive,0
fair,Democratic_positive,1
favor,Democratic_positive,1
free,Democratic_positive,1
freedom,Democratic_positive,0
oppose,Democratic_positive,0
peace,Democratic_positive,1
protect,Democratic_positive,1
protection,Democratic_positive,0
reform,Democratic_positive,0
strong,Democratic_positive,1
support,Democratic_positive,1
benefits,Republican_negative,0
commitment,Republican_negative,0
encourage,Republican_negative,0
fair,Republican_negative,0
favor,Republican_negative,0
free,Republican_negative,0
freedom,Republican_negative,0
oppose,Republican_negative,1
peace,Republican_negative,0
protect,Republican_negative,0
protection,Republican_negative,0
reform,Republican_negative,0
strong,Republican_negative,0
support,Republican_negative,0
benefits,Republican_positive,0
commitment,Republican_positive,1
encourage,Republican_positive,1
fair,Republican_positive,0
favor,Republican_positive,1
free,Republican_positive,1
freedom,Republican_positive,1
oppose,Republican_positive,0
peace,Republican_positive,1
protect,Republican_positive,1
protection,Republican_positive,1
reform,Republican_positive,1
strong,Republican_positive,0
support,Republican_positive,1
